의안번호,분야,별명,의원번호
2005739,선거 정치,난해한 법률안 용어와 법률 표현의 순화 ,10102
2005631,환경 노동,노동3권 보호,10102
2003480,국토 교통,공공기관 정치 중립,10102
2001771,문화 체육,"학점,학기 별 등록금 세분화 및 완화",10102
2000704,환경 노동,최저임금 결정권 이양,10102
2000077,선거 정치,골목상권보호,10102
2000075,선거 정치,중소기업 및 중소상인 재정지원,10102
2006635,선거 정치,노인고용 사업장 세액 공제,10101
2006634,국토 교통,"옥상 공원화,녹화 장려",10101
2006631,국토 교통,"지방세 감면 같은 유인책으로 옥상 공원화,녹화 장려",10101
2004420,문화 체육,개인정보 유출에 대비한 제도 확립,10101
2004413,국토 교통,민방위 훈련 기간 불합리화 해소,10101
2003208,국토 교통,선거 유세 차량의 소음 규제,10101
2003168,보건 복지,금연구역 지정 의무화 및 과태료 부여 권한 확대,10101
2003163,환경 노동,유해화학물질 함유 제품의 위해성 및 성분 공개,10101
2003160,문화 체육,소비자에 대한 이동통신사업자의 상세한 상품 설명의무화,10101
2002084,보건 복지,동물용 항생제 오남용 방지,10101
2000255,환경 노동,대기환경으로 인한 실외노동자의 산업재해 예방,10101
2000254,국토 교통,어린이 보호구역 지정 탄력화,10101
2002865,문화 체육,연구자 감시법,10301
2002863,문화 체육,연구자 감시법,10301
1914402,문화 체육,재난재해 방송 지도 감독 강화법,10301
1911009,문화 체육,연구개발특구지역 특화 기능 원활 수행 강화법,10301
1910083,선거 정치,분쟁지역파견부대 지원확대법,10301
1907241,선거 정치,재외공관용 부동산 관리강화법,10301
2006689,국토 교통,무허가동물번식장금지,10402
2006695,국토 교통,학교급식위생보호법,10402
2006813,국토 교통,여자화장실변기제한법,10401
2004393,국토 교통,교통약자보호법,10401
2004620,선거 정치,사이버 감시,10501
2006030,문화 체육,사물인터넷 지원,10501
2005664,환경 노동,일경험 지원,10501
2003526,선거 정치,청년실업자 관리,10501
2005650,선거 정치,상점실효성확보,10502
2005393,선거 정치,남북무역,10502
2006645,선거 정치,생활용품 안전관리,10502
2004883,선거 정치,신용정보 벌금부과,10502
2005693,선거 정치,군인복지법,10201
2004406,선거 정치,지뢰피해자 지원법,10201
2004250,문화 체육회,전기통신사업법,10201
2004238,문화 체육,개인정보보호법,10201
2006713,환경 노동,근로기준법,10202
2006711,환경 노동,남녀고용평등법,10202
2006710,보건 복지,양육책임법,10202
2006572,선거 정치,부가가치세법,10202
2006403,여성 가족,양성평등기본법,10202
2006338,문화 체육,발달장애인체육지원법,10202
2005980,국토 교통,4차산업혁명지원법,10202
2004182,문화 체육,사행산업인사관리법,10202
2003919,환경 노동,학력차별금지법,10202
2003915,선거 정치,국가제정법,10202
